country,co2_emission,income
Afghanistan,0.02847997691383,1311.0
Albania,0.181931563587982,8644.0
Algeria,0.43883331037997797,12314.0
Angola,0.24528966708102398,7103.0
Antigua and Barbuda,0.227551063429422,25736.0
Argentina,0.364881581650156,14646.0
Armenia,0.32093180723474896,7383.0
Australia,0.539721863241074,41312.0
Austria,0.22454917291111898,43952.0
Azerbaijan,0.67041358284367,14365.0
Bahamas,0.21089598944435897,24373.0
Bahrain,0.8991739661168249,42507.0
Bangladesh,0.235810637204995,2265.0
Barbados,0.267479198741305,16075.0
Belarus,0.5710188446807579,14488.0
Belgium,0.291513389848589,41641.0
Belize,0.21215850638810899,8293.0
Benin,0.345034743592245,1646.0
Bhutan,0.242360308434639,5663.0
Bolivia,0.319811443479334,5066.0
Bosnia and Herzegovina,1.10932268110572,9316.0
Botswana,0.19726872894916897,13858.0
Brazil,0.21421866193542605,13906.0
Brunei,0.5881741694107739,72351.0
Bulgaria,0.552807703054774,15368.0
Burkina Faso,0.113079117908166,1358.0
Burundi,0.062902132007241,723.0
Cambodia,0.17540242603629097,2442.0
Cameroon,0.138376579617839,2571.0
Canada,0.454258418468229,41468.0
Cape Verde,0.19506247125081602,6031.0
Chad,0.036819717257365,1753.0
Chile,0.32498306443452896,18698.0
China,0.929317318456506,7880.0
Colombia,0.18232519734305802,10489.0
Comoros,0.179291901898794,1440.0
"Congo, Dem. Rep.",0.151165020219694,607.0
"Congo, Rep.",0.14698116026646801,5022.0
Costa Rica,0.170578879503474,12219.0
Cote d'Ivoire,0.222958422503508,2854.0
Croatia,0.303788652667014,21873.0
Cyprus,0.407738542448968,35828.0
Denmark,0.24551782077740197,45017.0
Djibouti,0.302492860955222,2502.0
Dominica,0.170876513279281,10425.0
Ecuador,0.267715646653047,9244.0
Egypt,0.5148088127910599,9974.0
El Salvador,0.162137952147354,7450.0
Equatorial Guinea,0.234588238322199,40143.0
Eritrea,0.170993188050118,1088.0
Estonia,0.731680554064043,24743.0
Ethiopia,0.10992823360508801,931.0
Fiji,0.34567836063699603,7129.0
Finland,0.318026602827323,42122.0
France,0.19346521757035398,37505.0
Gabon,0.12678662668952198,15800.0
Gambia,0.209373236852647,1566.0
Georgia,0.262824606699768,5900.0
Germany,0.283206154527975,41199.0
Ghana,0.267595767917667,2907.0
Greece,0.333335722923036,32197.0
Grenada,0.226592994349746,12116.0
Guatemala,0.19936419202556,6960.0
Guinea,0.14503939818648498,1230.0
Guinea-Bissau,0.186630474907172,1326.0
Guyana,0.702433375680033,5208.0
Haiti,0.23889786147887804,1600.0
Honduras,0.32617075494971903,4391.0
"Hong Kong, China",0.136229181685518,46635.0
Hungary,0.304064918932422,23334.0
Iceland,0.19162367531580102,42294.0
India,0.5497977391133549,3901.0
Indonesia,0.484098826164989,7856.0
Iran,0.716294736984891,15955.0
Iraq,1.05695351806829,11616.0
Ireland,0.250737665441324,47713.0
Israel,0.200202254359608,28562.0
Italy,0.261459526108854,37475.0
Jamaica,0.632371509603568,8951.0
Japan,0.302186834690998,34800.0
